Local time,Open,High,Low,Close,Volume
01.11.2024 11:30:00.000 GMT+0200,2752.974,2753.018,2750.434,2751.035,236430
01.11.2024 11:35:00.000 GMT+0200,2751.065,2751.065,2747.854,2750.195,374920
01.11.2024 11:40:00.000 GMT+0200,2750.215,2751.105,2749.345,2750.995,150370
01.11.2024 11:45:00.000 GMT+0200,2750.975,2751.565,2749.845,2751.435,168510
01.11.2024 11:50:00.000 GMT+0200,2751.435,2752.485,2751.175,2751.175,155730
01.11.2024 11:55:00.000 GMT+0200,2751.175,2751.715,2750.525,2751.255,170890
01.11.2024 12:00:00.000 GMT+0200,2751.255,2751.335,2750.405,2750.675,266940
01.11.2024 12:05:00.000 GMT+0200,2750.715,2751.735,2750.595,2751.335,159590
01.11.2024 12:10:00.000 GMT+0200,2751.335,2751.435,2750.225,2750.295,215830
01.11.2024 12:15:00.000 GMT+0200,2750.295,2750.595,2748.605,2749.045,371640.01
01.11.2024 12:20:00.000 GMT+0200,2749.075,2750.168,2748.615,2748.965,300980
01.11.2024 12:25:00.000 GMT+0200,2748.965,2749.165,2747.155,2747.245,368540.01
01.11.2024 12:30:00.000 GMT+0200,2747.265,2748.215,2746.105,2746.105,457510
01.11.2024 12:35:00.000 GMT+0200,2746.108,2746.785,2744.685,2746.595,320370
01.11.2024 12:40:00.000 GMT+0200,2746.595,2746.905,2745.835,2746.905,119990
01.11.2024 12:45:00.000 GMT+0200,2746.915,2748.815,2746.545,2748.815,282550
01.11.2024 12:50:00.000 GMT+0200,2748.825,2749.905,2748.795,2749.875,285810.01
01.11.2024 12:55:00.000 GMT+0200,2749.888,2750.075,2748.995,2749.515,286150
01.11.2024 13:00:00.000 GMT+0200,2749.535,2751.265,2749.535,2751.095,220680
01.11.2024 13:05:00.000 GMT+0200,2751.105,2752.895,2750.485,2752.895,168160
01.11.2024 13:10:00.000 GMT+0200,2752.895,2752.945,2750.885,2751.485,282350
01.11.2024 13:15:00.000 GMT+0200,2751.485,2752.308,2751.275,2752.258,88640
01.11.2024 13:20:00.000 GMT+0200,2752.255,2753.985,2752.195,2752.955,111370
01.11.2024 13:25:00.000 GMT+0200,2752.945,2753.728,2751.945,2752.195,192130
01.11.2024 13:30:00.000 GMT+0200,2752.195,2753.225,2751.945,2752.655,139130
01.11.2024 13:35:00.000 GMT+0200,2752.655,2752.985,2751.555,2752.105,95570
01.11.2024 13:40:00.000 GMT+0200,2752.105,2753.315,2751.525,2752.815,107040
01.11.2024 13:45:00.000 GMT+0200,2752.815,2753.485,2752.058,2753.255,101030
01.11.2024 13:50:00.000 GMT+0200,2753.275,2753.325,2751.925,2752.875,310400
01.11.2024 13:55:00.000 GMT+0200,2752.905,2753.725,2752.298,2752.795,134110
01.11.2024 14:00:00.000 GMT+0200,2752.815,2753.095,2751.535,2751.975,193140
01.11.2024 14:05:00.000 GMT+0200,2751.975,2753.265,2751.875,2753.135,285340.01
01.11.2024 14:10:00.000 GMT+0200,2753.135,2754.085,2752.205,2753.685,171540
01.11.2024 14:15:00.000 GMT+0200,2753.725,2754.515,2750.165,2751.125,314680
01.11.2024 14:20:00.000 GMT+0200,2751.155,2752.338,2750.194,2751.305,346040
01.11.2024 14:25:00.000 GMT+0200,2751.315,2752.414,2748.938,2748.938,294370
01.11.2024 14:30:00.000 GMT+0200,2749.208,2758.998,2747.985,2756.225,897439.99
01.11.2024 14:35:00.000 GMT+0200,2756.235,2759.725,2755.585,2758.225,450799.99
01.11.2024 14:40:00.000 GMT+0200,2758.225,2758.975,2754.615,2755.825,392520
01.11.2024 14:45:00.000 GMT+0200,2755.795,2756.435,2753.815,2754.205,552189.99
01.11.2024 14:50:00.000 GMT+0200,2754.205,2758.405,2752.698,2754.884,627650
01.11.2024 14:55:00.000 GMT+0200,2754.914,2756.478,2753.345,2753.688,539080
01.11.2024 15:00:00.000 GMT+0200,2753.635,2759.924,2753.494,2759.754,445300.01
01.11.2024 15:05:00.000 GMT+0200,2759.784,2761.345,2757.534,2761.145,346010
01.11.2024 15:10:00.000 GMT+0200,2761.175,2761.345,2759.345,2760.935,310670
01.11.2024 15:15:00.000 GMT+0200,2760.935,2762.048,2758.825,2759.925,313600
01.11.2024 15:20:00.000 GMT+0200,2759.895,2760.085,2756.135,2757.365,283650
01.11.2024 15:25:00.000 GMT+0200,2757.415,2758.215,2753.178,2753.535,481869.99
01.11.2024 15:30:00.000 GMT+0200,2753.565,2755.375,2751.995,2755.045,530059.99
01.11.2024 15:35:00.000 GMT+0200,2755.045,2758.395,2753.325,2758.225,520219.99
01.11.2024 15:40:00.000 GMT+0200,2758.285,2759.415,2757.575,2758.185,277810.01
01.11.2024 15:45:00.000 GMT+0200,2758.215,2758.315,2756.128,2756.555,297120
01.11.2024 15:50:00.000 GMT+0200,2756.555,2759.345,2756.555,2757.775,325170
01.11.2024 15:55:00.000 GMT+0200,2757.775,2757.865,2755.458,2755.458,186910
01.11.2024 16:00:00.000 GMT+0200,2755.778,2758.728,2753.008,2753.855,426820
01.11.2024 16:05:00.000 GMT+0200,2753.855,2756.895,2753.505,2755.715,891950
01.11.2024 16:10:00.000 GMT+0200,2755.685,2758.035,2755.175,2756.505,832910
01.11.2024 16:15:00.000 GMT+0200,2756.495,2756.865,2754.035,2754.535,301780
01.11.2024 16:20:00.000 GMT+0200,2754.535,2754.535,2750.495,2750.785,416750
01.11.2024 16:25:00.000 GMT+0200,2750.785,2752.215,2747.918,2751.655,590409.99
01.11.2024 16:30:00.000 GMT+0200,2751.655,2752.625,2748.735,2749.705,479180
01.11.2024 16:35:00.000 GMT+0200,2749.705,2751.485,2745.138,2745.865,846500
